 9122.97  175
 9224.50  125
 9354.22  16
 9459.20  10	-1
 9657.79  500
 9784.51  300
10052.13  101
10470.13  250
10506.42   10
10673.58  200
10830.33  100  #He
10880.98    8  #??
10950.69   10
11078.87   11
11106.46   15
11393.70   10
11441.86   12
11488.05  120
11668.70  200
11719.48   10
11943.32   12
12026.60    2
12112.28   20
12139.67   50
12343.39   50
12402.80  100
12439.29  300
12487.67  200
12702.22  200
12802.69  100
12956.65  800
13008.23  200
13219.24  400 -1 #Ne (blended with Ar?)
13272.66  500
13313.15  500
13367.13  600
13406.52  100
13504.20 1000
13599.27   40
13622.67  400
13678.55  200
13718.54 1000
13825.71   10	-1
13910.59   50
14093.64  150
#14253.79   10	-1
#14596.50   10	-1
#14634.39   30
#14739.16    5
#14785.75   10	-1
15046.48  100
15172.64   25
15301.91   40
15329.30    9
15348.79    7
15402.58    6
15816.77   18
15899.64   10
15989.52   25
16122.68    1
16436.60   13
16519.87   30
16549.27    8
16740.01    9
16940.56  500
17002.44   10	-1 
17445.22   10	-1
17914.69   40
18418.16    2
18427.8	   10	-1
