24316.42	350	#Ne
24371.66	10500	#Ne
24378.26	4890	#Ne
24390.01	370	#Ne
24454.53	2900	#Ne
24459.78	630	#Ne
24466.07	5620	#Ne
24471.61	630	#Ne
24532.50	370	#Ne
24783.25	2360	#Ne
24910.52	880	#Ne
24935.70	2520	#Ne
25006.63	200	#Ne
25132.13	2350	#Ar
25168.57	2200	#Ne
25234.82	600	#Ne
25284.13	430	#Ne
25400.12	750	#Ne
25494.60	580	#Ar
25512.19	1500	#Ar
25531.30	8650	#Ne
25668.02	790	#Ar
25794.01	330	#Ne
