44050.626	120.92	#Ar
43774.871	429.45	#Ar
43767.468	172.86	#Ar
43601.383	357.73	#Ar
42044.088	106.73	#Ar
41973.524	660.13	#Ar
40921.393	50.3	#UII
40891.339	215.28	#Ar
40008.244	138.74	#Ar
39835.34	52.12	#Ar
39325.787	47.88	#Ar
38960.236	94.53	#Ar
38951.583	73.99	#UI
38811.206	66.06	#Ar
38331.214	109.87	#Ar
38120.066	189.44	#Ar
38094.967	37.8	#UI
37261.298	87.13	#Ar
37143.571	199.03	#Ar
37086.03	440.12	#Ar
37013.588	131.73	#Ar
36492.079	526.76	#Ar
36395.111	62.69	#Ar
36312.43	137.85	#Ar
36220.852	314.13	#Ar
36191.732	62.75	#UII
35449.183	49.83	#UII
34597.332	61.02	#UI
34407.365	57.57	#UI
34132.043	72.7	#UI
33293.436	277.74	#Ar
33214.833	92.94	#UI
33148.434	338.71	#Ar
33078.823	295.6	#Ar
32888.619	115.03	#Ar
32872.332	120.35	#UII
32333.864	126.36	#Ar
32256.273	71.61	#Ar
32038.394	39.98	#UII
31827.756	65.12	#UII
31674.796	553.8	#UI
31381.868	120.77	#UI
31333.029	1879.62	#Ar
30996.217	184.03	#Ar
30722.874	419.66	#UI
30462.071	131.63	#Ar
30067.447	135.69	#UI
29873.828	28.13	#UI
29796.796	2580.82	#Ar
29777.572	54.4	#UI
29768.242	30.53	#UII
29565.142	1078.58	#UI
29332.235	21.24	#UI
29280.654	267.18	#Ar
29262.901	84.99	#Ar
29224.791	177.26	#UII
29134.04	512.59	#Ar
29108.514	43.6	#Ar
28989.199	22.72	#Ar
28853.689	36.63	#UII
28843.079	883.55	#Ar
28782.932	4613.87	#Ar
28697.878	489.07	#Ar
28633.578	50.87	#UI
28620.223	1976.64	#Ar
28588.998	32.9	#UI
28572.471	36.27	#UII
28556.394	218.6	#UI
28550.869	19.95	#UI
28538.394	126.27	#Ar
28505.734	1582.2	#Ar
28321.777	786.2	#Ar
28256.645	38.55	#UI
28245.951	708.37	#Ar
28239.376	25.49	#UI
28202.429	646.96	#Ar
28174.076	110.27	#UI
28141.474	33.77	#UI
28061.121	16.98	#UI
28024.058	35.87	#UI
27984.845	319.56	#Ar
27793.519	588.28	#Ar
27778.022	46.44	#UI
27738.48	26.16	#UII
27651.156	8.22	#UI
27645.001	14.9	#Ar
27626.692	35.15	#Ar
27568.636	21.59	#Ar
27557.219	23.0	#UI
27553.518	86.01	#UI
27519.387	61.59	#UI
27514.186	6.76	#UI
27485.538	6.37	#UI
27418.948	1033.99	#Ar
27378.619	10.86	#UI
27364.364	12.01	#UI
27363.805	391.65	#Ar
27350.208	48.91	#UI
27293.194	38.69	#Ar
27291.498	3.55	#UI
27263.327	19.69	#UI
27256.107	84.72	#UII
27232.013	20.61	#UI
27230.965	4.72	#UI
27223.029	21.15	#UI
27205.946	6.46	#UI
27182.448	4.21	#UI
27152.865	331.78	#Ar
27100.563	6.09	#?
27094.349	5.21	#UII
27084.472	3.1	#UI
27068.337	4.32	#UI
27062.0	12.92	#Ar
27054.333	9.27	#UI
27046.259	3.02	#?
27038.756	4.46	#UI
27028.465	6.59	#UI
27015.589	5.64	#UI
26990.814	9.42	#UII
26981.656	4.1	#UI
26971.509	4.46	#UI
26970.831	2.51	#UI
26968.005	3.08	#UII
26960.919	6.89	#UI
26959.927	8.27	#UI
26948.135	3.52	#UI
26941.371	8.39	#?
26917.052	2144.78	#Ar
26911.428	5.94	#UII
26908.205	3.27	#UI
26884.675	3.15	#UI
26880.426	6.86	#UII
26866.787	24.35	#UII
26856.055	4.1	#UI
26843.019	534.84	#Ar
26830.302	3.09	#UI
26812.103	2.77	#?
26810.88	29.1	#UI
26806.331	3.0	#UI
26764.863	2.73	#UI
26761.788	10.59	#UI
26759.59	6.05	#UII
26755.974	6.73	#UI
26743.53	40.85	#?
26735.483	4.15	#UI
26720.734	7.66	#UI
26706.767	16.51	#UI
26693.835	4.51	#UI
26675.755	4.33	#UI
26673.509	253.3	#UII
26662.948	6.7	#UII
26652.491	6.08	#UII
26637.248	16.5	#Ar
26628.671	2.96	#UI
26614.62	3.18	#UII
26612.534	47.72	#Ar
26605.538	5.64	#UI
26600.258	3.88	#UI
26599.395	5.29	#UI
26581.449	4.34	#UI
26566.132	2.66	#UI
26556.728	5.86	#UI
26550.285	470.19	#Ar
26545.571	7.66	#UI
26537.677	3.02	#UI
26447.017	4.35	#UII
26409.342	2.66	#UI
26357.618	8.99	#UI
26347.852	3.39	#UI
26344.889	5.13	#UI
26339.494	3.43	#UII
26334.808	3.74	#UI
26321.161	37.25	#UI
26318.458	54.4	#UII
26317.005	3.4	#UI
26310.044	5.06	#?
26297.786	5.17	#UI
26296.976	4.26	#UI
26294.584	3.69	#UI
26290.939	4.49	#UI
26282.91	2.69	#UI
26267.535	31.51	#UII
26262.901	6.88	#UI
26259.356	5.81	#UI
26241.812	23.03	#Ar
26223.575	12.52	#UI
26220.744	4.73	#?
26188.568	4.49	#UII
26187.528	3.48	#UII
26174.876	3.21	#UII
26169.335	24.31	#UI
26160.96	4.48	#UI
26144.354	6.76	#UII
26138.793	3.14	#UI
26127.526	4.74	#UII
26122.897	81.72	#Ar
26121.088	25.17	#Ar
26104.311	11.93	#Ar
26085.389	4.43	#UI
26075.115	12.42	#UI
26070.445	6.72	#UI
26067.824	4.48	#UI
26063.817	71.59	#UII
26059.652	11.2	#UII
26048.427	6.09	#UI
26020.042	32.71	#UI
26006.064	3.29	#UI
26004.566	3.49	#UII
25998.101	2.71	#UI
25980.003	4.43	#?
25978.996	4.7	#UII
25966.09	5.69	#UI
25950.136	5.71	#UI
25917.684	5.08	#UI
25913.798	6.45	#UII
25909.387	2.67	#UI
25908.154	33.99	#UI
25819.304	5.66	#UI
25818.107	5.28	#UII
25798.708	4.08	#UI
25793.17	19.58	#UI
