1.08282 0.40
1.09243 0.24	-1
1.09733 0.35	-1
1.10273 0.28	-1
1.14333 0.40
1.15364 0.32
1.15893 0.35
1.16483 0.30
1.21193 0.54
1.22260 0.40
1.22836 0.46
1.23482 0.30
1.27493 0.15	-1
1.27609 0.21	-1
1.27790 0.21	-1
1.28035 0.23	-1
1.29022 0.57
1.30181 0.32
1.30817 0.35
1.43528 0.35
1.45150 0.60
1.45600 0.35
1.46008 0.35
1.46944 0.35
1.48290 0.62
1.49278 0.26
1.50514 1.95	-1
1.51829 0.38	-1
1.52368 1.41
1.52836 0.58
1.53282 1.15
1.53911 0.40
1.54279 1.08
1.55391 0.75	-1
1.55934 0.70
1.56273 0.35	-1
1.56507 1.05	-1
1.58289 2.30	-1
1.59682 0.50
1.60264 1.53
1.61242 1.71
1.61903	0.50	-1 
1.62310 1.27
1.63127 0.28	-1
1.63468 0.50
1.63840 0.25	-1
1.64376 0.60	-1
1.64745 0.50	-1
1.64978 0.75	-1
1.65494 0.30	-1
1.66880 2.30	-1
1.68359 0.30	-1
1.68991 1.45
1.69505 0.52	-1
1.70042	1.50
1.70736 0.70	-1
1.71189 1.20
1.72057 0.36
1.72439 0.70
1.73820 0.75
1.74451 0.65
1.76484 2.00	-1
1.78754 1.20
1.79891 1.42	-1
1.80630 0.21
1.81136 0.50	-1
1.92450 0.32
1.93448 0.25
1.96371 0.30	-1
1.96975 0.35	-1
1.97666 0.52	-1
1.98345 0.22
2.00028 1.05	-1
2.02704 1.00
2.03342 0.55
2.04072 1.28
2.04940 0.27
2.05580 1.05
2.07234 0.77
2.08547 0.22
2.09039 0.24
2.10623 0.35	-1
2.11710 0.38
2.12440 0.41	-1
2.15014 1.20	-1
2.17052 0.25
2.17962 0.70
2.18675 0.35
2.19448 0.45	-1
2.20464 0.37
2.21195 0.80
2.22418 0.28
2.23066 0.50
2.25119 0.25
2.37055 0.50    -1
